h_id,h_county,h_lat,h_lon,h_Workers,d_id,d_county,d_lat,d_lon
1,Harris,29.8574134,-95.3928322,1264,1,Austin,29.8569279,-96.2443229
1,Harris,29.8574134,-95.3928322,26461,2,Brazoria,29.1610141,-95.4534698
1,Harris,29.8574134,-95.3928322,5478,3,Chambers,29.7384562,-94.6081095
1,Harris,29.8574134,-95.3928322,625,4,Colorado,29.6309593,-96.5443489
1,Harris,29.8574134,-95.3928322,76087,5,Fort Bend,29.520214,-95.787262
1,Harris,29.8574134,-95.3928322,26591,6,Galveston,29.3757357,-94.9611889
1,Harris,29.8574134,-95.3928322,3485,8,Liberty,30.1509076,-94.8587991
1,Harris,29.8574134,-95.3928322,637,9,Matagorda,28.8152727,-96.0284508
1,Harris,29.8574134,-95.3928322,58645,10,Montgomery,30.3209926,-95.5279082
1,Harris,29.8574134,-95.3928322,3144,11,Walker,30.7154629,-95.5878106
1,Harris,29.8574134,-95.3928322,6908,12,Waller,29.9363935,-96.0026834
1,Harris,29.8574134,-95.3928322,1200,13,Wharton,29.2649159,-96.2705795
