h_id,h_county,h_lat,h_lon,h_Workers,d_id,d_county,d_lat,d_lon
1,Matagorda,28.8563648,-95.980012,46,1,Austin,29.8569279,-96.2443229
1,Matagorda,28.8563648,-95.980012,1419,2,Brazoria,29.1610141,-95.4534698
1,Matagorda,28.8563648,-95.980012,15,3,Chambers,29.7163792,-94.6962763
1,Matagorda,28.8563648,-95.980012,46,4,Colorado,29.6309593,-96.5443489
1,Matagorda,28.8563648,-95.980012,564,5,Fort Bend,29.520214,-95.787262
1,Matagorda,28.8563648,-95.980012,230,6,Galveston,29.3294758,-94.8954605
1,Matagorda,28.8563648,-95.980012,4453,7,Harris,29.829487,-95.4614249
1,Matagorda,28.8563648,-95.980012,20,8,Liberty,30.1509076,-94.8587991
1,Matagorda,28.8563648,-95.980012,5372,9,Matagorda,28.8152727,-96.0284508
1,Matagorda,28.8563648,-95.980012,295,10,Montgomery,30.3209926,-95.5279082
1,Matagorda,28.8563648,-95.980012,11,11,Walker,30.7154629,-95.5878106
1,Matagorda,28.8563648,-95.980012,34,12,Waller,29.9363935,-96.0026834
1,Matagorda,28.8563648,-95.980012,568,13,Wharton,29.2649159,-96.2705795
